GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
johannes-ims,com.qa.ims.controller,ItemController,6,103,0,2,3,29,3,7,3,6
johannes-ims,com.qa.ims.controller,Action,116,0,2,0,18,0,6,0,5,0
johannes-ims,com.qa.ims.controller,CustomerController,4,103,0,2,2,29,2,7,2,6
johannes-ims,com.qa.ims.controller,OrderItemController,44,78,0,2,13,22,5,6,5,5
johannes-ims,com.qa.ims.controller,OrderController,6,64,0,2,3,19,3,7,3,6
johannes-ims,com.qa.ims,Ims,264,0,20,0,64,0,21,0,7,0
johannes-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
johannes-ims,com.qa.ims.persistence.dao,OrderItemDaoMysql,313,0,2,0,66,0,12,0,11,0
johannes-ims,com.qa.ims.persistence.dao,ItemDaoMysql,306,0,2,0,66,0,12,0,11,0
johannes-ims,com.qa.ims.persistence.dao,OrderDaoMysql,302,0,2,0,65,0,12,0,11,0
johannes-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,305,0,2,0,66,0,12,0,11,0
johannes-ims,com.qa.ims.services,ItemServices,0,28,0,0,0,8,0,5,0,5
johannes-ims,com.qa.ims.services,OrderItemServices,0,28,0,0,0,8,0,5,0,5
johannes-ims,com.qa.ims.services,OrderServices,28,0,0,0,8,0,5,0,5,0
johannes-ims,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
johannes-ims,com.qa.ims.utils,Utils,44,0,0,0,11,0,5,0,5,0
johannes-ims,com.qa.ims.persistence.domain,Order,9,184,5,19,2,51,4,21,0,13
johannes-ims,com.qa.ims.persistence.domain,Domain,33,83,2,0,9,11,3,3,2,3
johannes-ims,com.qa.ims.persistence.domain,Item,0,178,0,30,0,48,0,26,0,11
johannes-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
johannes-ims,com.qa.ims.persistence.domain,OrderItem,6,206,4,28,0,56,4,25,0,13
